timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-03-19 18:09:39,b'I\xe2\x80\x99m so bored I decided to give Twitter another try \xf0\x9f\x98\x82',b'BrandiN0Tbrandy',[],94,ha
2020-03-19 18:00:22,"b'The people of Bhutan are blessed with the news of the birth of the second Royal Child of Their Majesties the King and Queen, on March 19, 2020.  We offer our humble wishes and prayers for His Royal Highness\xe2\x80\x99 good health and long life. (pc: Facebook)  #royalfamily #happiness https://t.co/AmvSkU8i2g'",b'MyBhutan',"['royalfamily', 'happiness']",936,"Thimphu, Bhutan"
2020-03-19 17:18:07,"b""Nicen't https://t.co/tJ3dfVN0wF""",b'zaynwaell',[],45,Ha
2020-03-19 17:07:32,b'Kuarintin day is the bosan day.',b'hyyiraa',[],42,ha
2020-03-19 17:00:00,b'The S&amp;P 500 is ubiquitous. Ever wonder how it works? #S&amp;P500 https://t.co/StoAmBKZTS',b'StratosWealthAG',['S'],49,Ha
2020-03-19 16:47:38,b'@donidimaunahan Imissyou     \xf0\x9f\xa5\xba \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb',b'marija_pie',[],265,ha
2020-03-19 16:37:03,b'@cdrfthriscia @Zildjiannnnnn i second that motion',b'marija_pie',[],265,ha
2020-03-19 16:26:38,b'@NotKinqBest @BlondyIsChill I need robux',b'uchiha_soma',[],6,"Thimphu, Bhutan"
2020-03-19 16:11:43,b'Heavenly Bhutan Travels offers our heartiest Tashi Delek to our Majesties The King and The Queen with the birth of the second Royal Child and Royal Highness The Gyalsey was delighted to meet his younger brother on the\xe2\x80\xa6 https://t.co/Goan8Ty4g1',b'HeavenlyBhutan',[],94,Bhutan
2020-03-19 16:02:14,b'Simps should only be allowed on Tumblr and Pinterest.',b'zaynwaell',[],45,Ha
2020-03-19 15:59:39,"b'This notification on Refund of tour cost for tour canceled due to COVID-19 supersedes the earlier notification issued on March 18,2020 regarding the same.  #TourismBhutan #HappinessIsAPlace #Bhutan https://t.co/w3xrtmfS5M'",b'tourismbhutan',"['TourismBhutan', 'HappinessIsAPlace', 'Bhutan']",10866,"Thimphu, Bhutan"
2020-03-19 15:53:18,b'@KuenpelJ It has nth to do with that story  I am talking about the situation \xf0\x9f\x98\x82',b'BidhaChencho',[],32,paro bhutan
2020-03-19 15:45:38,"b'@benevity All the civil society had meeting with the Minister of Health, and definitely country like Bhutan  need immense support internationally as well as locally.'",b'somdomusic',[],24,Thimphu
2020-03-19 15:34:31,b'sadhourS',b'hesmiey',[],259,ha
2020-03-19 15:29:47,b'India could be next coronavirus hotspot with an \xe2\x80\x98avalanche\xe2\x80\x99 of cases. TOI https://t.co/TC3jlVSsnW',b'gasebtandin',[],2332,"Thimphu, Bhutan"
2020-03-19 15:16:39,b'@Ally_Port Yikes',b'nlms1x',[],982,HA
2020-03-19 15:07:30,b'@Ally_Port You\xe2\x80\x99re lying loool',b'nlms1x',[],982,HA
2020-03-19 15:05:11,b'\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9Bhutan celebrates the birth of our second Royal Prince\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9Offering prayers \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fand heartfelt Tashi Delek to Their Majesties and HRH the Gyalsey.',b'pem_pa',[],318,Thimphu
2020-03-19 14:54:15,b'@lisita___ Along side a bunch of people',b'zaynwaell',[],45,Ha
2020-03-19 14:53:09,b'amen https://t.co/WwwLlJUwea',b'Akosi_Bleu',[],150,ha
2020-03-19 14:43:07,b'*Save!!! ILOVEYOU \xf0\x9f\x99\x88\xf0\x9f\x92\x98 https://t.co/OvKLkcRRH2',b'LxysxTuan',[],308,ha ha
2020-03-19 14:17:36,b'@CSandajan ano yan? miss u and iloveyouu',b'kylastronggg',[],451,ha?
2020-03-19 14:05:36,"b'""destiny makes us think that there is order in this horseshit that we call life."" - Geralt of Rivia.'",b'rowsmn',[],101,ha
2020-03-19 14:02:33,"b'""Hooman trying to speak with me, im so done"" \xf0\x9f\x98\x82 https://t.co/avEwvwOk79'",b'deerazif__',[],265,HA
2020-03-19 13:56:22,b'Yah mirul gonna be like dis \xf0\x9f\x98\x82 https://t.co/CpKgqSNlPb',b'deerazif__',[],265,HA
2020-03-19 13:54:28,b'JOONIE MISSES US BACK YALL I AM DEVASTATED NO ONE TOUCH ME https://t.co/zUNLlzkgTS',b'DumplingFight',[],768,Ha
2020-03-19 13:52:08,b'My dude only ever comes here for ml   Nakain na sya ng sistema ladies and gentleboys https://t.co/QKIXcUUxFB',b'DumplingFight',[],768,Ha
2020-03-19 13:40:30,b'Dropped from the heavens straight in the wild. https://t.co/Fgu8uchmLG',b'zaynwaell',[],45,Ha
2020-03-19 13:09:43,"b'Update: The Health Minister met with the representatives from different CSOs in the country earlier today. In the meeting, Her Excellency expressed her appreciation to the CSOs for coming together in the best of\xe2\x80\xa6 https://t.co/nw1YLtQp7Z'",b'MoHBhutan',[],941,"Thimphu, Bhutan"
2020-03-19 13:09:18,"b'Update: The Health Minister met with the representatives from different CSOs in the country earlier today. In the meeting, Her Excellency expressed her appreciation to the CSOs for coming together in the best of their\xe2\x80\xa6 https://t.co/rKE43oJb8p'",b'MoHBhutan',[],941,"Thimphu, Bhutan"
2020-03-19 13:01:28,"b'Looking ever the edge @ Bhudha Point, Kuensel Phodrang https://t.co/nsC2dLWLvq'",b'ArFid7',[],95,"Dhaka, Bangladesh"
2020-03-19 12:58:44,"b'The Tourism Council of Bhutan most humbly joins the Nation in welcoming the second Royal Prince. On this auspicious occasion, we offer our prayers and good wishes for the good health and well-being of Her Majesty The Gyaltsuen and our newly arrived Prince.  Palden Drukpa Gyalo https://t.co/kFJfB8KUzp'",b'tourismbhutan',[],10866,"Thimphu, Bhutan"
2020-03-19 12:57:03,b'@dizisme_julie bbluvs naman ih\xf0\x9f\xa5\xba\xf0\x9f\xa5\xb0',b'mykahangelaa',[],494,Ha
2020-03-19 12:56:26,b'@Henrirejaune Nice one https://t.co/QaAwle2Z0q',b'Kradoukiel',[],122,"Thimphu, Bhutan"
2020-03-19 12:48:21,"b'A Prince is Born!!  Just as the warm and pleasant springtime dawns upon us, bringing along with it the fragrances of freshly blossoming flowers. When the pristine valleys of this priceless nation of ours are endowed\xe2\x80\xa6 https://t.co/JG5dck0LSk'",b'MoHBhutan',[],941,"Thimphu, Bhutan"
2020-03-19 12:43:58,b'@VIGOROUSJIMIN You dont follow me back tho :((',b'DumplingFight',[],768,Ha
2020-03-19 12:39:55,"b'@leiwizalei @abbyfeliciano_ Language, Abby.'",b'ncsoriano_',[],57,HA?
2020-03-19 12:37:41,b'We are Blessed with a second Royal Prince. Congratulations to our His Majesty the King and Her Majesty the Queen.',b'PhurbaPhuba',[],737,Thimphu
2020-03-19 12:31:09,b'@gwynethpereyyy ughhh pretty\xf0\x9f\xa5\xb5',b'marija_pie',[],265,ha
2020-03-19 12:29:56,b'@cdrfthriscia @eryen_jii sana all behave',b'marija_pie',[],265,ha
2020-03-19 12:21:54,b'@zaneyyyyy tingiiiin',b'_auuuubs',[],238,ha
2020-03-19 12:15:12,b'@Zlicky Gm bro \xf0\x9f\x92\x95',b'qlikzu',[],229,ha 
2020-03-19 12:10:13,b'Third batch released from quarantine today   #Coronavirus  @PMBhutan  Sowai Lyonpo dwangmothimphu https://t.co/v0rToR1QXv',b'MoHBhutan',['Coronavirus'],941,"Thimphu, Bhutan"
2020-03-19 12:01:19,b'@EqyBot lets gooooo https://t.co/iuOrPbradN',b'qlikzu',[],229,ha 
2020-03-19 11:53:21,"b'The Coronavirus Is Here to Stay, So What Happens Next? https://t.co/B9mtsxKhsA'",b'pphurba',[],4,Thimphu Bhutan
2020-03-19 11:47:25,b'@alodeee_yah love u too \xf0\x9f\x98\x9a\xf0\x9f\x98\x9a',b'darcytibi',[],109,ha?
2020-03-19 11:40:21,b'@alyhtan cutie\xf0\x9f\x98\x8d',b'mykahangelaa',[],494,Ha
2020-03-19 11:40:11,b'Perfect https://t.co/rWzipXKSd1',b'DumplingFight',[],768,Ha
2020-03-19 11:40:10,b'The Stereophonics concert in the UK: I want to go these \xe2\x80\x9cWhite people\xe2\x80\x9d but I know not all white people are like the concert-goers. Still. I AM STUNNED!   Do you guys not know what a pandemic is?   I really like the band but the concert makes me doubt their intelligence.',b'namgayzam',[],21283,thimphu 
2020-03-19 11:38:29,b'@pjimindipityy Thank you T^T',b'DumplingFight',[],768,Ha
