timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-01 17:50:41,b'ano lang? flirtationship.',b'jai_erz',[],76,ha
2020-04-01 17:45:34,b'Wise decision. This is simply too big for any one country to handle. Even China accepted aid/help and now USA too. https://t.co/wstcKTP5F0',b'TenzingLamsang',[],19583,"Thimphu, Bhutan."
2020-04-01 17:44:41,"b'Algorithm messing up with mind.         A book I just saw in bookstore and thought of buying it some other day, the book review pops up in my YouTube home page the next day. Trust me no search history of this book as long as I remember. \xf0\x9f\xa4\x94'",b'yangzlo',[],15,"Thimphu, Bhutan"
2020-04-01 17:44:28,"b""@csyku @idolfess I'm sing in my bluuuuuuu""",b'hanjjisa',[],190,ha?
2020-04-01 17:41:19,b'@Koreaboo Mino P.O best boy',b'hanjjisa',[],190,ha?
2020-04-01 17:40:51,b'@KuenpelJ Haha\xf0\x9f\x98\x82 These days EI works\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',b'BidhaChencho',[],37,paro bhutan
2020-04-01 17:33:02,b'Well... Mybe not the right time... Booooo sha...',b'fxrlshx',[],30,ha
2020-04-01 17:19:31,"b'@zhonba \xe2\x80\x98Enough\xe2\x80\x99 is felt and 0.1 still is a value, 10 is much more. \xf0\x9f\x98\x82'",b'cringngedup3',[],51,Thimphu
2020-04-01 17:15:58,"b'@drukleaks Haha, is it a sympathy at this hour?'",b'cringngedup3',[],51,Thimphu
2020-04-01 17:08:19,b'Literally everyone nowadays. https://t.co/MRtFd0ektH',b'somehandsomeboi',[],132,hA?
2020-04-01 17:00:34,b'Sending Love and Healing Prayers from the Kingdom of Bhutan.  #coronavirus #covidBhutan #WHO #Bhutan #MyBhutan https://t.co/s7WfJVISy7',b'MyBhutan',"['coronavirus', 'covidBhutan', 'WHO', 'Bhutan', 'MyBhutan']",942,"Thimphu, Bhutan"
2020-04-01 16:42:29,b'lowkey relationship is dabes',b'hUaRusIs',[],401,ha?
2020-04-01 16:38:31,b'me looking for worth: https://t.co/FfNPjovHcW',b'iahyang',[],171,ha?
2020-04-01 16:37:02,"b'Dear Valued Guests, Cherished Partners and Esteemed Suppliers,  We hope that you and your family are keeping well during these challenging times. The COVID-19 pandemic has been an unprecedented phenomenon for us\xe2\x80\xa6 https://t.co/NsxKkzV9wF'",b'BMVTNT',[],69,"Thimphu,Bhutan"
2020-04-01 16:36:20,b'@UnboxTherapy Yo yo yo Willy Du do your thing bra pick me I ve never won anything before. Let me win this one bra. \xe2\x9c\x8c\xf0\x9f\x8f\xbe\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe',b'c_limbi',[],34,Ha!!
2020-04-01 16:30:03,b'I \xf0\x9f\x95\x91 Thimphu https://t.co/EEGo7nQ7iT',b'ilovethisbot',[],184,A souvenir stand near you
2020-04-01 16:27:34,b'@namgayzam &amp; don\xe2\x80\x99t miss the owl \xf0\x9f\xa6\x89.',b'czdorji',[],2259,"thimphu, bhutan"
2020-04-01 16:20:55,b'i cannot even express how disappointed i am to the government rn',b'jeaaanrodriguez',[],343,ha
2020-04-01 16:19:30,b'@czdorji Love Osamu Tezuka. Love the Buddha more. :)',b'namgayzam',[],21438,thimphu 
2020-04-01 16:14:08,"b'@annie_923 Haha definitely,  nots gon be the same.'",b'Tobgay333',[],35,"Thimphu ,Bhutan"
2020-04-01 16:07:12,b'@jesshusss @avaishla I just know this a UK nigga \xf0\x9f\x98\x82',b'ajhanee09',[],354,Ha
2020-04-01 16:05:15,b'Why why why https://t.co/7iHcmilAs0',b'tsnamgyal',[],24,"Thimphu, Bhutan"
2020-04-01 16:02:25,"b""Why do i keep missing people who don't care\xf0\x9f\x99\x84\xf0\x9f\xa5\xba""",b'BidhaChencho',[],37,paro bhutan
2020-04-01 16:00:45,b'@mustveri Ya allah finally! Mine 12 April \xf0\x9f\xa5\xb0\xe2\x9d\xa4\xef\xb8\x8f',b'deerazif__',[],265,HA
2020-04-01 16:00:23,"b'i hope maging happy kana bcos u deserve it u r worth fighting for kase napaka genuine mong tao n what i love u the most is never kang nagtanim ng galit sa isang tao, enjoy ur special day babs ko and i will always pray for u n for ur happiness Iloveyou @eryen_jii\xf0\x9f\x98\x9a'",b'marija_pie',[],273,ha
2020-04-01 15:58:05,"b'@dolo_sensei Ed, Ed &amp; Eddy'",b'ajhanee09',[],354,Ha
2020-04-01 15:52:36,b'\xf0\x9f\x99\x8c Do share insights when you\xe2\x80\x99re ready! https://t.co/rrIVcDCMf4',b'kuengawangmo',[],1924,"Thimphu, Bhutan"
2020-04-01 15:51:46,"b""I just know this niggas ain't from the US https://t.co/f6l7E3wwP4""",b'ajhanee09',[],354,Ha
2020-04-01 15:50:13,b'Photographs taken on the way to Gelephu. https://t.co/HPRKE1ogzP  #Gelephu #Bhutan #worldtourplan #photography #traveltips https://t.co/qtIc5G94Ah',b'worldtourplan09',"['Gelephu', 'Bhutan', 'worldtourplan', 'photography', 'traveltips']",197,"Thimphu,Bhutan"
2020-04-01 15:48:34,b'@Worldometers Do you have an app?  App would be great.',b'PaSsu_Diary',[],6009,Thimphu
2020-04-01 15:48:28,b'@smolbaebi ANG GANDA MO SA FIRST PIC GAGI UGH BBCAKES',b'mykahangelaa',[],492,Ha
2020-04-01 15:47:07,b'@FOOD_FESS Niat',b'hanjjisa',[],190,ha?
2020-04-01 15:40:27,"b""Like in the Parasite, the poor nor the rich is the villain, it's the government.""",b'somehandsomeboi',[],132,hA?
2020-04-01 15:38:14,b'Experiencing Village life style in Sarpang https://t.co/HPRKE1ogzP #lifestyle #foods #bhutan #worldtourplan #Village #traveltips #Laringglimpse #happiness #CookingTime https://t.co/a570vSZsVN',b'worldtourplan09',"['lifestyle', 'foods', 'bhutan', 'worldtourplan', 'Village', 'traveltips', 'Laringglimpse', 'happiness', 'CookingTime']",197,"Thimphu,Bhutan"
