timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-07-11 16:52:54,"b'It\'s a love story baby just say ""Yes"" @BTS_twt'",b'tanie_30121995',[],1312,ha
2020-07-11 16:52:26,"b'I talked to your dad, go pick out a white dress @BTS_twt'",b'tanie_30121995',[],1312,ha
2020-07-11 16:49:43,"b""I love u and that's all I really know @BTS_twt""",b'tanie_30121995',[],1312,ha
2020-07-11 16:49:16,"b""You'll never have to be alone  @BTS_twt""",b'tanie_30121995',[],1312,ha
2020-07-11 16:48:50,"b'And said ""Mary me Juliet"" @BTS_twt'",b'tanie_30121995',[],1312,ha
2020-07-11 16:48:19,b'He knelt to the ground and pulled out a ring. @BTS_twt',b'tanie_30121995',[],1312,ha
2020-07-11 16:43:02,b'@RobloxTweetz Informative',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 16:42:38,"b""Is this in my head ? I don't know what to think. @BTS_twt""",b'tanie_30121995',[],1312,ha
2020-07-11 16:37:46,b'\xe2\x80\x9cInstagram is the best way to promote sum pussy\xe2\x80\x9d',b'gwaponggagoh',[],74,ha
2020-07-11 16:33:39,"b""@zyreenn_ I'm lazy-\xf0\x9f\x98\x82""",b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 16:29:54,"b'I keep waiting for u, but u never come. @BTS_twt'",b'tanie_30121995',[],1312,ha
2020-07-11 16:27:36,"b""Romeo, save me, I've been feeling so alone. @BTS_twt""",b'tanie_30121995',[],1312,ha
2020-07-11 16:22:02,b'@TheAaryanKartik where will you travel first once this gets over?',b'BhutanTripAdv',[],5908,Thimphu Bhutan 
2020-07-11 15:20:14,"b""@omniaki @animeplugx Manga readers spiteful af cause anime watchers don't care to read. So they'll spoil tf out that shit just cause they hurt \xf0\x9f\x92\x80\xf0\x9f\x92\x80""",b'ajhanee09',[],349,Ha
2020-07-11 15:19:45,"b'@RahulGandhi Useless ! Congress have nothing to write against BJP, thus they write all nonsense'",b'nidhi_bhattarai',[],3,Thimphu Bhutan
2020-07-11 15:14:39,"b""@Thenewwave601_ 24's will always be an Atlanta nigga classic""",b'ajhanee09',[],349,Ha
2020-07-11 15:08:36,b'Getting back nearly after 4 years.',b'Karma0543',[],7,"Thimphu, Bhutan"
2020-07-11 15:08:02,b'STILLL UUU \xf0\x9f\x92\x94',b'Monicsss3',[],198,ha?
2020-07-11 15:03:01,b'@hinaparvezbutt  @BBhuttoZardari  look the difference between elected and Selected https://t.co/W8dCdLksF5',b'SyedSaa1',[],1572,thimphu bhutan
2020-07-11 14:59:42,b'@itzClairerblz Big congrats \xf0\x9f\x8e\x89',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 14:56:40,b'@itzClairerblz congrats on the 1k UwU \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\xa5\xb3',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 14:55:49,b'@itzClairerblz Okay &gt;:C',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 14:52:29,b'I started liking my name when you kept saying it',b'ToastedSweets',[],20,ha? 
2020-07-11 14:43:23,b'sape single bole pm brader ni\xf0\x9f\xa4\xa3 comment paling tak toxic kat live #PMWL2020 https://t.co/shlB1ZSxCe',b'afnxnmslm',['PMWL2020'],204,ha?
2020-07-11 14:39:26,b'Mom n daughter https://t.co/CMUUv6sXhz',b'Karma64012365',[],0,Thimphu
2020-07-11 14:32:20,b'team secret pon team malaysia gaiss',b'afnxnmslm',[],204,ha?
2020-07-11 14:28:31,b'@omochidaisukinn have a nice day!',b'mepo_meposeijin',[],167,ha?
2020-07-11 14:16:50,b'@4evergoldbts okay',b'artisttae_',[],2117,ʰᵃ ʰᵃ
2020-07-11 14:16:33,b'See this Instagram photo by @akstiwari01 https://t.co/ADgiCYc2vd https://t.co/2PYtnsgcM6',b'tiwariaks01',[],1,pbh
2020-07-11 14:16:25,"b'@iix_Ally @CrstnLndnFg ""not rlly"" lol. YES REALLY \xf0\x9f\x98\x82'",b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 14:14:43,b'@iix_Ally @CrstnLndnFg Cause you too look good ? XD',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 13:53:20,b'https://t.co/3kzacuaIxR  How do you improve your wellness score? Want to know the simplest of ways that could help to make a substantial difference in your health? Check this article to find out more details on your health and Wellness Check Lists',b'backyardheaven',[],253,"Thimphu, Bhutan"
2020-07-11 13:49:20,"b""@its_brieezy @th3g0dd3ss They also support trump so it's not very hard to believe""",b'ajhanee09',[],349,Ha
2020-07-11 13:32:07,b'@Houseeofmadison \xf0\x9f\x98\x82\xf0\x9f\x98\x82 me too cause what',b'ajhanee09',[],349,Ha
2020-07-11 13:29:33,b'@thythythyy want',b'tanie_30121995',[],1312,ha
2020-07-11 13:22:47,b'If scoring 2 is brace .. And scoring 3 is hatrick.. What is scoring 4 in a game called?  Antonio ... You made FPL manager regret for not having you on their team \xf0\x9f\xa5\xba',b'DeependraKoira5',[],19,"Thimphu, Bhutan "
2020-07-11 13:20:16,b'@FactsFpl Thank you so much for the share \xf0\x9f\x99\x82',b'DeependraKoira5',[],19,"Thimphu, Bhutan "
2020-07-11 13:11:41,b'beautiful color just likey car paint https://t.co/om9d0jlnGd https://t.co/JkKygVQvVs',b'SyedSaa1',[],1572,thimphu bhutan
2020-07-11 12:44:57,b'@mythsbaby is all I been listening to for the last week and a half. To good',b'ajhanee09',[],349,Ha
2020-07-11 12:43:17,b'Sibat well https://t.co/iulmYiFeZX',b'0505MDHYEWON',[],114,ใช่มันเป็นคุณ
2020-07-11 12:41:04,b'Who they hell let me be an aunty \xf0\x9f\x98\x82',b'ajhanee09',[],349,Ha
2020-07-11 12:19:30,b'@xo_audrey_ Maybe one day we will be there at all I just want to be sure I have the right to be mad at me for not being \xf0\x9f\x92\xaf',b'uchiha_soma',[],65,"Thimphu, Bhutan"
2020-07-11 12:15:34,b'@BibekWrites @Ayushman_____ @Yangchenlhamoj Plenty of gas for an alleged PhD.',b'TenzingLamsang',[],23656,"Thimphu, Bhutan."
2020-07-11 12:11:34,b'@CRAVITY_twt Omg black hairrrr',b'tanie_30121995',[],1312,ha
2020-07-11 12:11:22,b'photos like this needs have a comeback. ctto. https://t.co/niQsg4DeIL',b'zakenriquez',[],184,ha
2020-07-11 12:08:59,b'@wayneomari1 Honestly lol',b'nlms1x',[],966,HA
