timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-08-30 18:48:53,b'I fucked with some clasic cars lol https://t.co/6PIiuhTPfg',b'Rasserue',[],91,Ha
2020-08-30 18:24:35,b'@peechetodekho Superb \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c',b'vikrantparate',[],21,"Thimphu, Bhutan"
2020-08-30 18:23:18,b'@simmy1k I get 20%',b'nav1uk',[],53,ha
2020-08-30 18:08:49,b'@simmy1k @Moneyggs Yes I\xe2\x80\x99m cool',b'nav1uk',[],53,ha
2020-08-30 18:01:52,b'@DestinysJesus @Jynx100k I am deeply sorry for starting this entire thing',b'nav1uk',[],53,ha
2020-08-30 17:56:07,b'@sngwake Murder house',b'nav1uk',[],53,ha
2020-08-30 17:53:35,"b""OMAGAH CAN'T WAIT FOR ICE CREAM AND SELPINK AAAAAHHHHHHHH""",b'todayis_dubzy',[],1,ha
2020-08-30 17:53:24,b'@xrchieFN @Jynx100k @lennyfnr @simmy1k I ask for an opinion and an argument spawns very epic :)',b'nav1uk',[],53,ha
2020-08-30 17:47:47,b'@lennyfnr @kurrionkeys @Jynx100k @simmy1k @volxfn hahaha gotten to that point already',b'nav1uk',[],53,ha
2020-08-30 17:46:44,b'@simmy1k @Clowd1e @Jynx100k @lennyfnr @volxfn I have brought in a storm from asking someone\xe2\x80\x99s opinion tbh I\xe2\x80\x99m quite happy with the results',b'nav1uk',[],53,ha
2020-08-30 17:45:02,b'@kurrionkeys @lennyfnr @Jynx100k @simmy1k @volxfn pop off',b'nav1uk',[],53,ha
2020-08-30 17:40:41,b'@lennyfnr @simmy1k @Jynx100k @volxfn need to calm down mate if something\xe2\x80\x99s bothering you I can be your therapist',b'nav1uk',[],53,ha
2020-08-30 17:39:25,b'@lennyfnr @simmy1k @Jynx100k @volxfn just because you didn\xe2\x80\x99t seem to get great reactions out of it doesn\xe2\x80\x99t mean you need to lash out',b'nav1uk',[],53,ha
2020-08-30 17:39:03,b'@lennyfnr @simmy1k @Jynx100k @volxfn I mean you were calling a region of people irrelevant it\xe2\x80\x99s the same thing isn\xe2\x80\x99t it',b'nav1uk',[],53,ha
2020-08-30 17:37:52,b'@lennyfnr @simmy1k @Jynx100k @volxfn why are you still angry I thought it was funny haha',b'nav1uk',[],53,ha
2020-08-30 17:36:46,b'@simmy1k @lennyfnr @Jynx100k @volxfn I was confused first time it happened to me aswell \xf0\x9f\x98\x8e',b'nav1uk',[],53,ha
2020-08-30 17:33:40,b'@Jynx100k @lennyfnr @simmy1k @volxfn oh shit',b'nav1uk',[],53,ha
2020-08-30 17:32:20,b'@lennyfnr @simmy1k @Jynx100k @volxfn Still good players',b'nav1uk',[],53,ha
2020-08-30 17:31:58,b'@MimiReeds India maybe',b'Sallymathole',[],415,Pbh
2020-08-30 17:29:54,b'@lennyfnr @simmy1k @Jynx100k @volxfn Only 5 could qual haha what\xe2\x80\x99s your point',b'nav1uk',[],53,ha
2020-08-30 17:27:47,b'@lennyfnr @simmy1k @Jynx100k @volxfn can\xe2\x80\x99t be saying that :(',b'nav1uk',[],53,ha
2020-08-30 17:23:49,b'Did you miss me ?',b'i3uwd',[],102,HA
2020-08-30 17:17:43,b'@simmy1k @Jynx100k @volxfn Imagine not knowing oce :(',b'nav1uk',[],53,ha
