timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-09-10 10:19:14,b'test stream (doing commissions) https://t.co/Waj2SpF5ca',b'theotheralden',[],245,ha
2020-09-10 10:08:27,b'Prime Time on Indian News Stations https://t.co/t2xA10R5rT',b'TenzingLamsang',[],24439,"Thimphu, Bhutan."
2020-09-10 10:06:52,"b'Along with Covid-19 DeSuung Pin, we are fortunate to receive Sungki &amp; Thrichu for our Nyamroos. Long Live Our Supreme Commander \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f @ Thimphu, Bhutan https://t.co/BEmd8lV2wB'",b'bhutan_majestic',[],1144,"Thimphu, Bhutan"
2020-09-10 09:58:42,"b'Fall In for DeSuup Covid-19 Pin Ceremony from Super Zone 4 - Changbangdu @ Kuenselphodrang, Thimphu https://t.co/r7kaiqjOVT'",b'bhutan_majestic',[],1144,"Thimphu, Bhutan"
2020-09-10 09:57:04,"b'My King is My Hero - DeSuup Covid-19 Pin @ Thimphu, Bhutan https://t.co/KYJEyArRyM'",b'bhutan_majestic',[],1144,"Thimphu, Bhutan"
2020-09-10 09:55:48,b'With Super Zone 1 Babesa Outgoing Super Zone Gojay Ata Wangchuck &amp; Sub Gojays after the Handing &amp; Taking Ceremony. @ The Tsenden Boutique https://t.co/lLxa8EetLm',b'bhutan_majestic',[],1144,"Thimphu, Bhutan"
2020-09-10 09:54:24,"b'Handing &amp; Taking of Super Zone 1 - Babesa from Ata Wangchuck. Thank you Ata, Sub Gojays and Fellow Nyamroos for all your Service to Babesa Super Zone Community and I commit to continue and do my best. @ The Tsenden Boutique https://t.co/qMA5Vg72yk'",b'bhutan_majestic',[],1144,"Thimphu, Bhutan"
2020-09-10 09:47:09,b'@thebhutanese Confusing!!!',b'PhuntshoWangs',[],33,Thimphu
2020-09-10 09:22:12,"b'PM @narendramodi reviews development work at Kedarnath Dham, stresses on need to have pilgrim, environment-friendly facilities: https://t.co/Ixx63NcfNO  @PMOIndia @MEAIndia @PIB_India @IndianDiplomacy @PBNS_India @DDNewslive @PMBhutan @FMBhutan'",b'Indiainbhutan',[],11239,"Thimphu, Bhutan"
2020-09-10 09:12:29,b'When you have absolutely no arsenal in store for her:  Dove.. I may not have the Earth or the wealth but I can assure you... I have no family history of diabetes mellitus or hypertension.',b'Tobgay333',[],46,"Thimphu ,Bhutan"
2020-09-10 09:05:11,b'The Ministry of Agriculture and Forests shares the #pricelist for onion and tomato to prevent exorbitant rates charged by wholesaler and retailers https://t.co/YchFB485J0 https://t.co/V2PvuYKVE1',b'moafbhutan',['pricelist'],483,"Thimphu, Bhutan"
2020-09-10 09:04:21,b'b4 u gooooooo',b'ughnjo_',[],66,haven
2020-09-10 08:41:06,b'Any guess about this plant \xe2\x9d\x93  IG - https://t.co/67qwjYdIOA  . . #amazingplants #traveldiaries #easyghumo #nature #photographydaily #exploreworld #travelworld #species #photooftheday #naturephotography #picoftheday #travelphotography https://t.co/9gLhIXA7Pz',b'easyghumodotcom',"['amazingplants', 'traveldiaries', 'easyghumo', 'nature', 'photographydaily', 'exploreworld', 'travelworld', 'species', 'photooftheday', 'naturephotography', 'picoftheday', 'travelphotography']",3,"New Delhi, India"
2020-09-10 08:20:20,b'APPLEbottomJEANS',b'haystwater',[],50,Ha?
2020-09-10 08:19:59,b'APPLEBOTTOMjeans',b'haystwater',[],50,Ha?
2020-09-10 08:19:42,b'appleBOTTOMJEANS',b'haystwater',[],50,Ha?
2020-09-10 08:18:40,b'applebottomJEANS',b'haystwater',[],50,Ha?
2020-09-10 08:17:42,b'appleBOTTOMjeans',b'haystwater',[],50,Ha?
2020-09-10 08:17:25,b'APPLEbottomjeans',b'haystwater',[],50,Ha?
