timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-05-21 16:26:14,"b""seriously considering deactivating just an fyi (maybe permanently)  i feel like my friends hate me and i originally created an account to make friends so i really dont see a point   honestly i've been a wreck all week with constant breakdowns and i dont want to stay here""",b'iiieliesesmh',[],1138,ha 
2020-05-21 16:18:25,b'@starrylije id dislike my own tweets honestly',b'iiieliesesmh',[],1138,ha 
2020-05-21 15:55:32,b'good night my beautiful friend https://t.co/7iUFe9iiaI https://t.co/qtMjRgEako',b'SyedSaa1',[],1600,thimphu bhutan
2020-05-21 15:55:28,"b""@LibraPoppyGirl @chaosgoddess27 @AlessandraAster @EU_Justice this... uh, isn't about what you think?? it's about the reality that rape is illegal. Rapists should be reported, and we shouldn't punish an entire (already oppressed) demographic because of an entirely unfounded idea that they are more likely to rape.""",b'Will66398490',[],0,ha
2020-05-21 15:51:34,b'@ESPNcricinfo @GeoffreyBoycott Geoffrey Boycott Mirrored \xf0\x9f\x99\x83',b'ugyen',[],146,"Thimphu, Bhutan"
2020-05-21 15:39:02,b'I straighten my hair one time and all you niggas got jokes https://t.co/NaMGOGzKIS',b'ajhanee09',[],349,Ha
2020-05-21 15:33:40,b'Feline\xe2\x80\x99s Love https://t.co/JCUmfCntJI',b'BrezzyNemo',[],10,Thimphu
2020-05-21 15:16:39,"b'Cap bc I fell asleep during my ribs it was therapeutic, my hip didn\xe2\x80\x99t hurt either... I tapped out on my wrist \xf0\x9f\xa4\x94 https://t.co/KIM6mvjnmK'",b'nlms1x',[],969,HA
2020-05-21 15:14:58,b'Why does no one say this to me when we fight https://t.co/opDrSl2aEv',b'nlms1x',[],969,HA
2020-05-21 14:50:15,b'Thank you @BBSBhutan for the programme to mark Gyalyum Kudrel\xe2\x80\x99s 90th birthday. This was very meaningful and educative - highlighting some important contributions of Her Majesty in our nation\xe2\x80\x99s journey. May Gyalyum Kudrel continue to enjoy good health and inspire us.',b'sangaykhandu',[],7856,"Thimphu, Bhutan"
2020-05-21 14:43:47,"b'IN Germany, recovery period of covid patients is 7 days. How they do it. We can do it in India by German system.'",b'Sandeep45094247',[],0,Ha
2020-05-21 14:32:48,b'i\xe2\x80\x99m gonna go crawl in a hole for the rest of the day because i feel bad that i think i made someone upset with me so goodbye',b'iiieliesesmh',[],1138,ha 
2020-05-21 14:30:41,b'@MagigingQ Sge thanks',b'Yenarii_chan',[],769,hA
2020-05-21 14:26:15,b'i am so bad at talking to people wow',b'iiieliesesmh',[],1138,ha 
2020-05-21 14:24:10,b'Beautiful flowers with dew drops in the neighborhood. So preoccupied with Covid that we didn\xe2\x80\x99t even notice it. https://t.co/rxMpOnvpw8',b'pem_pa',[],329,Thimphu
2020-05-21 14:22:33,b'@logicaIhearts oh i\xe2\x80\x99m sorry :( i\xe2\x80\x99ll delete it',b'iiieliesesmh',[],1138,ha 
2020-05-21 14:18:04,"b'Beyond the Snapshots: Telling Stories Through Photography by nithildennis  A storyteller, photographer, and filmmaker, who looks beyond the boundaries of the human mind in search of the soul that expresses its true\xe2\x80\xa6 https://t.co/v7qcJyNC2p'",b'duptshering6',[],418,Bhutan
2020-05-21 14:13:11,"b'uhhh, wild\xf0\x9f\xa4\xa4'",b'giyansss',[],163,ha
2020-05-21 14:12:45,b'sending me music u think id like is a love language',b'DrunkonnKDD',[],186,ha?
2020-05-21 14:12:15,b'Would you not issue an immediate refund? Especially since the cancellation happened in less than 24 hours of the purchase? All this makes it seem like you\xe2\x80\x99re collecting money to run operations at the expense of people who just want to go home @TurkishAirlines @TK_HelpDesk',b'Pemaschocho',[],76,"Thimphu, Bhutan"
2020-05-21 14:12:15,b'I know for a matter of fact that at least 10 other people bought tickets for that flight. They are all having the same problem. @TurkishAirlines @TK_HelpDesk. I understand that you might have had to cancel your flight due to low passenger turnout but why https://t.co/tzpCBUVKbe',b'Pemaschocho',[],76,"Thimphu, Bhutan"
2020-05-21 14:12:10,"b'About refund for the cancelled flight. I\xe2\x80\x99m now being told that a refund will be issued only after 2 months. To add insult to injury, my credit card has been charged twice for each payment - I\xe2\x80\x99ve been charged for 4 tickets when I only purchased 2 @TurkishAirlines @TK_HelpDesk'",b'Pemaschocho',[],76,"Thimphu, Bhutan"
2020-05-21 14:12:10,"b'@TK_HelpDesk I bought two tickets from @TurkishAirlines for my sisters to come back home from America. The day after we paid for the tickets, the flight was cancelled and we didnt receive a refund. In fact, when we called your help desk you hung up on us as soon as we asked'",b'Pemaschocho',[],76,"Thimphu, Bhutan"
2020-05-21 14:12:04,b'i feel bad',b'DrunkonnKDD',[],186,ha?
2020-05-21 14:10:46,"b""God has a plan, that's why everything happens for a reason.""",b'alysleepy',[],111,ha?
2020-05-21 14:10:29,b'@logicaIhearts very cool',b'iiieliesesmh',[],1138,ha 
2020-05-21 14:09:49,b'may our favorite people never turn into strangers',b'DrunkonnKDD',[],186,ha?
2020-05-21 13:58:41,"b""i'm : not okay afaysvsjlld""",b'chimingxx',[],245,ha?
2020-05-21 13:53:37,b'@suksuk_z Awesome!Giving me scary vibe....',b'lee_tshering',[],9,"Thimphu, Bhutan"
2020-05-21 13:53:17,b'@anitarxx Loooooooooool GO AWAY',b'nlms1x',[],969,HA
2020-05-21 13:50:06,b'@SaltyAoi @Souless_Sparrow as she should \xf0\x9f\x98\x8c',b'iiieliesesmh',[],1138,ha 
2020-05-21 13:48:38,b'deep talks',b'jhamtaanhueco',[],749,ha
2020-05-21 13:45:41,b'I\xe2\x80\x99m acc no longer a lighty... I am BROWN',b'nlms1x',[],969,HA
2020-05-21 13:44:21,"b'Why are kids so loud, don\xe2\x80\x99t u know how to talk instead of shout'",b'nlms1x',[],969,HA
2020-05-21 13:43:23,b'My sap is down what a shame x',b'nlms1x',[],969,HA
2020-05-21 13:24:31,b'@official_izone ILY AGAIN',b'Yenarii_chan',[],769,hA
2020-05-21 13:08:20,b'Something about #volumetrics I love #Changjiji #time 7:09 pm #Thimphu #Bhutan #memories #pictureoftheday #natural #light #bloom #cycles #eevee #inspiration #scene #backgrounds @ Trowa Theatre https://t.co/7e4qPCTKEI',b'ChhetriAbhinaya',"['volumetrics', 'Changjiji', 'time', 'Thimphu', 'Bhutan', 'memories', 'pictureoftheday', 'natural', 'light', 'bloom', 'cycles', 'eevee', 'inspiration', 'scene', 'backgrounds']",2,"Thimphu, Bhutan"
2020-05-21 12:37:29,"b""Waiting for the days in the future to come where i will stop getting sty infections.The pain is something else and even period doesn't make me this moody and irritable.""",b'its_Astrophile',[],1,"Thimphu, Bhutan"
2020-05-21 12:35:11,"b""@ImihcWangmo It's not from last night..the whole day today too it wasn't working...""",b'yiwangpindarica',[],6953,"Thimphu, Bhutan"
2020-05-21 12:17:46,"b'@fumblypd Yes. Got a new wingle from Tashicell, today.   No thank you, Bmobile.'",b'namgayzam',[],21946,thimphu 
2020-05-21 12:10:08,"b'no vaccine, no school'",b'jhamtaanhueco',[],749,ha
2020-05-21 12:05:16,"b'@vickyharp @AzureDataStudio Yes, have been using in windows OS but in mac its taking time to alter tables.'",b'younten',[],114,"Thimphu, Bhutan"
2020-05-21 12:00:40,b'Makes Financial sense for Govts to ease lockdown #Covid_19 BUT more will be infected and even more will die. We need a proper plan in place. Oh yeah #ReleaseTheSnyderCut',b'c_limbi',"['Covid_19', 'ReleaseTheSnyderCut']",36,Ha!!
2020-05-21 11:58:18,b'I HATE MYSELF',b'Yenarii_chan',[],769,hA
2020-05-21 11:56:04,b'@SamanthaJohnson Great to be connected. \xf0\x9f\x98\x80',b'bhutannorter',[],144,"Thimphu, Bhutan"
2020-05-21 11:47:49,b'Wish I was with my pals drinking rn',b'nlms1x',[],969,HA
2020-05-21 11:43:50,b'Wishing a very happy 90th Birthday to Her Majesty The Royal Grandmother Ashi Kesang Choeden Wangchuck.  Her Majesty has been one of the main pillars of the Monarchy in Bhutan in not only the important positions held by Her Majesty as the Queen of Bhutan..  https://t.co/1bw0xKxH5w https://t.co/5kkbjkfVSP',b'TenzingLamsang',[],19879,"Thimphu, Bhutan."
2020-05-21 11:43:46,"b'Thank you, Tashicell! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'",b'namgayzam',[],21946,thimphu 
