timestamp,tweet_text,username,all_hashtags,followers_count,location
1/26/20 8:44,"b'@OfficialSidFC @sidharth_shukla Yes I am sidheart "" #OurPrideSid'",b'Kezang18699253',['OurPrideSid'],1,"Thimphu, Bhutan"
1/26/20 8:25,b'Armys out there being creative with their own army bomb like i want one but i dont have one \xf0\x9f\x98\xad https://t.co/DmK6thaSfF',b'deerazif__',[],265,HA
1/26/20 8:22,b'I want to kick your ass off from this planet \xf0\x9f\x98\xa4 https://t.co/G2wXpaLyKd',b'deerazif__',[],265,HA
1/26/20 8:13,b'Psycho in my ass \xf0\x9f\x98\x8c https://t.co/Y7SPy9tLoZ',b'deerazif__',[],265,HA
1/26/20 8:02,b'Stay alert to unexplored possibilities that could bring you un... More for Virgo https://t.co/ytH6jMhay1',b'czdorji',[],2211,"thimphu, bhutan"
1/26/20 8:01,"b'Your passions may be amplified today, especially if your adren... More for Sagittarius https://t.co/FfKav1h4Nc'",b'kintsho_bht',[],28,Thimphu
1/26/20 8:01,b'Honor and appreciate the friends who bring sunny delight into ... More for Taurus https://t.co/EECfQYA8HL',b'cixx67',[],1494,"Thimphu, Bhutan"
1/26/20 8:00,b'Making a good impression on others is essential to you now bec... More for Pisces https://t.co/uojyhA9mo8',b'LobzangYeshey1',[],301,"Thimphu, Bhutan"
1/26/20 7:54,b'@Sydbeeep \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a  NNNNNNNOOOOOOOOOO THIS ISNT TRUE',b'emma90345431',[],0,ha
1/26/20 7:31,b'@bngtnshoe_ @barbiefobia \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0that is so adorable \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',b'selden_e',[],4,Paro Bhutan
1/26/20 7:31,b'@_bbiancasofiaaa wow may pa concert',b'love_theaa',[],61,ha?
1/26/20 7:26,b'Lets go netflix',b'magrata_ava',[],261,Ha
1/26/20 7:14,b'Sometimes people hate you because of the way other people love you \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c  #NeverFeelHated \xf0\x9f\x92\x9c #BTS',b'selden_e',"['NeverFeelHated', 'BTS']",4,Paro Bhutan
1/26/20 6:46,b'cl be cl',b'_SophiaLucman',[],1236,Ha
1/26/20 6:17,b'you should watch legacies\xf0\x9f\x98\x8d',b'jchmmrii',[],65,ha? 
1/26/20 6:10,b'bikerist',b'tinnacartagena',[],116,ha?
1/26/20 5:33,b'@kamaalrkhan Is it just because u said so??? Forget it man. U @kamaalrkhan  is super flop not Salman Khan.',b'Tandy38410231',[],5,Thimphu
1/26/20 5:28,b'@ZameerS26759984 Hats off to you! Maza agaya caller of the week.',b'Kezang18699253',[],1,"Thimphu, Bhutan"
1/26/20 5:19,b'@gemmariaaa send acc',b'hesmiey',[],215,ha
1/26/20 5:13,b'@franchezkuh mamae make me a sibling please',b'_SophiaLucman',[],1236,Ha
1/26/20 4:41,"b""soojin's nuga mugeumna still gives me chills bro""",b'_SophiaLucman',[],1236,Ha
1/26/20 4:40,b'Happy 70th republic day   #GoBackBolsonaro',b'saileshpb786',['GoBackBolsonaro'],7,PBH
1/26/20 4:37,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/sYDneXcb3s',b'iamYoeser',['MyTwitterAnniversary'],328,"Thimphu, Bhutan"
1/26/20 4:34,b'cause i dont have one sike https://t.co/PHey55YL8K',b'_SophiaLucman',[],1236,Ha
1/26/20 4:34,b'lol no one can guess my @ nga rant acc',b'_SophiaLucman',[],1236,Ha
1/26/20 4:31,b'Just should\xe2\x80\x99ve gone tape tonight',b'nlms1x',[],986,HA
1/26/20 4:31,b'I should sleep but I\xe2\x80\x99m just so stressed',b'nlms1x',[],986,HA
1/26/20 4:19,b'@jxhun @JXSHIT @SharonMelaniex Awww I miss living altogether \xf0\x9f\x98\xa2',b'nlms1x',[],986,HA
1/26/20 4:19,b'to get me through it all~ https://t.co/18oiV0cwDq',b'_jasss64',[],59,ha
1/26/20 4:04,"b""HAPPIEST BIRTHDAAAAAAY!!! Ate @mylesrodrigoo and kuya @RodrigoOmer heheheheheh wishing u all the best 'cause both of you deserves it &lt;3333 \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x8a""",b'_SophiaLucman',[],1236,Ha
