timestamp,tweet_text,username,all_hashtags,followers_count,location
2019-12-28 17:25:45,b'Happy birthday my dear Zigsel LhendrupGyeltshen. May this new year bring you ample joy and happiness.',b'nangseld123',[],5,"Thimphu, Bhutan"
2019-12-28 17:20:42,b'he\xe2\x80\x99s just so babie i\xe2\x80\x99m upset https://t.co/kUdfJcsVmR',b'yeonland',[],1103,𝗁𝖺
2019-12-28 17:15:58,b'enough with this drama. i\xe2\x80\x99m tired.',b'jeaaanrodriguez',[],333,ha
2019-12-28 17:15:19,b'Thank you 2019 for everything hoping Ang praying for the best for the year 2020',b'BhutanLeading',[],16,"Thimphu, Bhutan"
2019-12-28 17:12:43,b'Cant sleep',b'shrxnrnx_',[],2512,ha
2019-12-28 17:11:50,"b'Do you see what I see? If not, try zoom in! Happiness @ Thimphu, Bhutan https://t.co/hENRE1xhHR'",b'bhutan_majestic',[],1119,"Thimphu, Bhutan"
2019-12-28 17:09:15,b'kill me',b'Aeroblesz',[],34,ha
2019-12-28 17:06:45,b'yikes always. fckngsht.',b'jeaaanrodriguez',[],333,ha
2019-12-28 17:01:01,"b'yeah right, it\xe2\x80\x99s totally fine.'",b'jeaaanrodriguez',[],333,ha
2019-12-28 16:49:55,b'Reached safely. \xe2\x80\x94 in Washington D.C. https://t.co/YUp0yoj0LA',b'RabiDahal',[],1282,"Thimphu, Bhutan"
2019-12-28 16:47:03,b'@kamaalrkhan The big star of Bollywood \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/C1qkwUgnSi',b'Tandy38410231',[],2,Thimphu
2019-12-28 16:43:19,b'@kamaalrkhan @kamaalrkhan try acting urself. I am imagining how you  will react when no one will be there to watch your movie apart from you family.  \xf0\x9f\xa4\x90\xf0\x9f\xa4\x90\xf0\x9f\xa4\x90',b'Tandy38410231',[],2,Thimphu
2019-12-28 16:39:33,b'be open',b'Aeroblesz',[],34,ha
2019-12-28 16:34:21,"b""There were times I'd put just \xe2\x82\xb9100 worth of petrol in my tank, while other times \xe2\x82\xb9500. I've had just \xe2\x82\xb950 to feed myself and my family, I've also had \xe2\x82\xb910,000 to go out to eat. I\xe2\x80\x99ve had a house full of food and I... https://t.co/dLDHeknv8f""",b'ucdorji',[],311,"Thimphu, Bhutan"
2019-12-28 16:18:14,b'@kamaalrkhan @ColorsTV @kamaalrkhan the one whom u hate cannot be alys wrong. Feeling funny man \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad',b'Tandy38410231',[],2,Thimphu
2019-12-28 16:16:57,"b'This is what we did on the streets of Bhutan \xf0\x9f\x87\xa7\xf0\x9f\x87\xb9 By the way, we are already back in Bangladesh \xf0\x9f\x87\xa7\xf0\x9f\x87\xa9 again ;) @ Thimphu, Bhutan https://t.co/h8jKZre5IS'",b'Krishna_du',[],220,Bangladesh
2019-12-28 16:15:34,b'Ml? Arat?',b'shrxnrnx_',[],2512,ha
2019-12-28 16:08:29,b'shenglotts',b'EliasMallorcs',[],61,ha?
2019-12-28 16:03:51,b'they were together because the other members were w/ family. ASHJISJS so cute (ten\xe2\x80\x99s claimed yangyang as his little brother) https://t.co/h0K8EHMHpU',b'IngrigNgedup',[],2,
2019-12-28 16:03:22,b'@kt1465 Fox sake',b'deanoalive75',[],35,Ha
2019-12-28 16:02:16,b'yangyang\xe2\x80\x99s ring tone is 7 rings...I\xe2\x80\x99m out.',b'IngrigNgedup',[],2,
