timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-06-29 14:30:46,b'Confusion and disappointment settle in the pit of my stomach. Where did I go wrong? Are my promises not enough for your heart to stay in love with me?  ah wala HAHAHA galing lang sa prose ko kahapon baket baket',b'iraeasri',[],210,adj
2020-06-29 14:23:31,b'@kacheiba I think bc I\xe2\x80\x99m a bit shy during sex I find it too much \xf0\x9f\x98\xad I like the position not the eye contact',b'nlms1x',[],961,HA
2020-06-29 14:22:11,b'Pleased to have witnessed along with @DrSJaishankar the signing of the first ever JV hydroelectric project between Bhutan and India. The Concession Agreement for 600 MW Kholongchhu Hydroelectric Project marks another milestone in the Bhutan-India hydropower cooperation.',b'FMBhutan',[],3265,"Thimphu, Bhutan"
2020-06-29 14:21:12,b'@mydreamscapade love it',b'ofelbonivie',[],167,ha
2020-06-29 14:18:59,"b""@AdobeCare It's just crashing as soon as it loads up. I can't get pass the crash report to write them it crashes again""",b'ajhanee09',[],348,Ha
2020-06-29 14:18:26,"b'HRH Dasho Ugyen Jigme Wangchuck completed the 38th batch Accelerated De-suung Training in April 2020 and takes pride to join the fellow De-suups for COVID-19 duty &amp; patrolling duty in Babesa, Changjiji and Changzamtog areas in Thimphu along with De-suups and RBP personnel. https://t.co/iZEm0E5dOq'",b'business_bhutan',[],10351,Thimphu Bhutan
2020-06-29 13:51:00,"b""A sincere appeal from the #frontlineworkers.   Follow the #newnorm cause we've got to live with #COVID19.  @PMBhutan dwangmothimphu  #COVID_19BHU https://t.co/UehdYCr8Es""",b'MoHBhutan',"['frontlineworkers', 'newnorm', 'COVID19', 'COVID_19BHU']",1356,"Thimphu, Bhutan"
2020-06-29 13:49:07,"b""A sincere appeal from the #frontlineworkers.   Follow the #newnorm cause we've got to live with #COVID19.  @PMBhutan dwangmothimphu  #COVID_19BHU https://t.co/LcwYtLksp9""",b'MoHBhutan',"['frontlineworkers', 'newnorm', 'COVID19', 'COVID_19BHU']",1356,"Thimphu, Bhutan"
2020-06-29 13:46:38,"b'My account of how public trust in the government &amp; clergy came in handy to fight the pandemic in #Bhutan (zero deaths, no community transmission, only 32 active cases):   https://t.co/ay1PoE3LPm'",b'namgayzam',['Bhutan'],22550,thimphu 
2020-06-29 13:45:15,b'What these bitches want from a nigga... reaaaaaLLLLyyyyy waaaAAAAAANNNNtt',b'nlms1x',[],961,HA
2020-06-29 13:43:28,b'I want to leave this meeting bc I have what these bitches want in my head and I just want to dance',b'nlms1x',[],961,HA
2020-06-29 13:37:36,b'This makes me feel uncomfortable \xf0\x9f\x98\xa9 https://t.co/gTDd4qBU4L',b'nlms1x',[],961,HA
