timestamp,tweet_text,username,all_hashtags,followers_count,location
2/12/20 5:39,b'good morning Manni https://t.co/T0SvxUvtHH https://t.co/MsGiWVIwMU',b'SyedSaa1',[],1376,thimphu bhutan
2/12/20 5:37,b'aint have nothing to rhyme about.',b'xtoastadox',[],232,Ha
2/12/20 5:35,b'good morning dear billi https://t.co/Ty4YS2M8qz https://t.co/jxnf3w5COd',b'SyedSaa1',[],1376,thimphu bhutan
2/12/20 5:33,b'good morning dear https://t.co/RXVus54qio https://t.co/sdKfFJ8O9i',b'SyedSaa1',[],1376,thimphu bhutan
2/12/20 5:14,b'@DorjiWangchuk Condition of footpath from NLC to Chubachu for last 3 months https://t.co/ry0NyGGcsU',b'Tobgay3',[],102,Thimphu
2/12/20 5:11,"b'@twentypermille Yes,Pichi Pichi.'",b'1liiiiiiiiiiii',[],1726,Saint-Louis-du-Ha! Ha!
2/12/20 4:40,"b'BBS Radio: ""Preamble of the Constitution of the Kingdom of Bhutan"" https://t.co/7T0AxADs9f'",b'BBSBhutan',[],48158,Thimphu
2/12/20 4:18,"b'National memorial of Bhutan #hrbilgipics #ilovebhutan @ Memorial Chorten, Thimphu https://t.co/fTDOrMOFb9'",b'hrbilgi',"['hrbilgipics', 'ilovebhutan']",489,"Dubai, United Arab Emirates"
2/12/20 4:00,"b'The present is us, The future is USAD \xf0\x9f\x8c\xb9 https://t.co/aN3FM2JrIF'",b'_SophiaLucman',[],1243,Ha
2/12/20 3:25,"b""Coronavirus vaccine could be ready in 18 months, WHO officials say: 'We are not defenseless'  https://t.co/vlEmDTOvfn""",b'gasebtandin',[],2278,"Thimphu, Bhutan"
2/12/20 3:07,b'good morning my \xda\x86\xd9\x88\xd8\xa6 \xd8\xb5\xd8\xa7\xd8\xa8 plz brush your beautiful teeth apply lotion on your beautiful hands n feet have glass of milk. https://t.co/rxsR2CdK2Z https://t.co/1ZTGqNdShD',b'SyedSaa1',[],1376,thimphu bhutan
2/12/20 2:56,"b""I do not mind the crazy people, it's the normal one that freaks me out! \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/IrRcTZCkPI""",b'BidhaChencho',[],24,paro bhutan
2/12/20 2:44,"b'my my, I should have done better.'",b'conan_ph',[],1226,Ha?
2/12/20 2:33,b'@_moon_queen_ @kpophappenings_ Exactly',b'_Scarlet_bunny',[],140,"thimphu, bhutan"
2/12/20 2:31,"b""My greatest beauty secret is being happy with myself. I don't use special creams or treatments - I'll use a little bit of everything. It's a mistake to think you are what you put on yourself. I believe that a lot of\xe2\x80\xa6 https://t.co/CgLCfkjkDn""",b'duptshering6',[],426,Bhutan
2/12/20 1:42,b'@djsnake @weareBellecour Bruh \xf0\x9f\x98\x82',b'Xiao920',[],66,"Thimphu, Bhutan"
2/12/20 1:36,b'@CarbinOfficial Times have changed bro. I feel you \xf0\x9f\x98\xa3',b'Xiao920',[],66,"Thimphu, Bhutan"
2/12/20 1:27,b'@tiesto Thank you for making music and inspiring youngsters like us \xe2\x9d\xa4\xef\xb8\x8f',b'Xiao920',[],66,"Thimphu, Bhutan"
2/12/20 1:05,b'@mono_hopeworld show me',b'artisttae_',[],2169,ʰᵃ ʰᵃ
2/12/20 0:57,b'@AishaLUMS  good morning my dear \xda\x86\xd9\x88\xd8\xa6 \xd8\xb5\xd8\xa7\xd8\xa8 please brush your beautiful teeth apply lotion on your beautiful hands n feet. have glass of milk. thankyou https://t.co/rrEnHsW3RJ',b'SyedSaa1',[],1376,thimphu bhutan
2/11/20 23:44,b'@jsphflrs You mean the year so far?',b'xtoastadox',[],232,Ha
2/11/20 23:10,b'unsay as a pren oy @athenaasantos \xf0\x9f\x98\x94 https://t.co/cAuKlciVeQ',b'_SophiaLucman',[],1243,Ha
2/11/20 23:08,b'women up',b'_SophiaLucman',[],1243,Ha
2/11/20 23:05,b'unsay lab report oy',b'_SophiaLucman',[],1243,Ha
2/11/20 22:48,b'There is no Moon like you',b'DiegoMharee',[],38,ha
2/11/20 22:47,b'@bernardlea9 @AliThr3 @HugoGlt1 Impec',b'AlbanT10',[],469,ha
2/11/20 22:32,"b'""I wonder why I tear myself down, only to be build back up again""'",b'rowsmn',[],88,ha
2/11/20 21:26,"b'@Swittiwa So many people misunderstood this woman. She was honest and sincere. What you saw was what you got. No masks no pretence. She reminds you of your many moms in the ""real Nigeria"" not totally educated but would not play with issues that concerned their children. Sad.'",b'okolikobaje',[],51,HA
2/11/20 21:24,"b""@TheCxLx We wouldn't have met.""",b'xtoastadox',[],232,Ha
2/11/20 21:10,b'I have tickets for the El Paso date. Get some tickets. Get some kisses. #OntheDeadMoose. https://t.co/uaA3AIRPvX',b'xtoastadox',['OntheDeadMoose'],232,Ha
2/11/20 20:56,"b""bad rose, don't confuse yourself with the feelings that are being shown. tangina mo wag kang marupOk""",b'rowsmn',[],88,ha
2/11/20 20:54,b'my friend is amazing everyone please support him\xf0\x9f\xa5\xba hes doing so good https://t.co/WtIzelea7o',b'artisttae_',[],2169,ʰᵃ ʰᵃ
2/11/20 20:45,"b""@GianMorteI But i didn't want u to cry :(((((""",b'rowsmn',[],88,ha
2/11/20 19:59,b'Kim k is doing my dream prison reform job',b'nlms1x',[],984,HA
2/11/20 19:24,b'defence https://t.co/zBX52lkP39',b'SyedSaa1',[],1376,thimphu bhutan
2/11/20 19:24,b'which gun you prefer https://t.co/Jq4NSQe7Su https://t.co/b9OfaGKdcw',b'SyedSaa1',[],1376,thimphu bhutan
2/11/20 19:16,b'boy fucker ho? https://t.co/NPtZlMWpmo',b'SyedSaa1',[],1376,thimphu bhutan
