timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-08-22 17:51:07,b'@beechholic says YOU BAHAHA',b'zzzentsu',[],86,ha
2020-08-22 17:50:26,b'genocider shou is hot i said what i said',b'zzzentsu',[],86,ha
2020-08-22 17:41:49,b'@namgayzam Long live your holiness...may the loveing kindness benefit all the sentient being...chabsu choe.\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'PemaWangchuk408',[],0,Thimphu 
2020-08-22 17:37:40,b'best post of all time. great Mir https://t.co/yybuTmRfvB',b'SyedSaa1',[],1541,thimphu bhutan
2020-08-22 17:15:09,b'@MalegGT__ @MaageYT Pog I quit because I wanted to commit suicide because I\xe2\x80\x99m on Eu servers',b'nav1uk',[],51,ha
2020-08-22 17:12:38,b'@Carlitoes Send sleep pics',b'nav1uk',[],51,ha
2020-08-22 17:12:36,"b""I'm sorry if i ruined your mood""",b'hanashna',[],326,ha 
2020-08-22 17:09:12,b'inosuke is so cute for what https://t.co/gErHzeagKk',b'zzzentsu',[],86,ha
2020-08-22 17:06:42,b'@spiritedaweu cool thanks tanjiro https://t.co/iQnIVYtPax',b'zzzentsu',[],86,ha
2020-08-22 16:53:11,b'@MalegGT__ @MaageYT How many left',b'nav1uk',[],51,ha
2020-08-22 16:52:45,b'@aarishavacado yea I stopped',b'nav1uk',[],51,ha
2020-08-22 16:52:06,b'@simmy1k @hawyXXIX I stopped playing now I\xe2\x80\x99m happy \xf0\x9f\x99\x82',b'nav1uk',[],51,ha
2020-08-22 16:46:25,b'@CatishFN Yes generally I will want to commit suicide playing this game too much I\xe2\x80\x99m mainly gonna play fall guys now until I have to grind arena.',b'nav1uk',[],51,ha
2020-08-22 16:45:17,b'Waiting till trios going to play casually for now',b'nav1uk',[],51,ha
2020-08-22 16:24:38,b'Think I shouldn\xe2\x80\x99t play',b'nav1uk',[],51,ha
2020-08-22 16:19:52,b'Keying everyone now',b'nav1uk',[],51,ha
2020-08-22 16:18:39,b'Keyed again randomly!',b'nav1uk',[],51,ha
2020-08-22 16:16:24,b'@giyamili huhmbot',b'hannahrriesgado',[],224,ha
2020-08-22 16:07:44,b'ok but add me on discord zentsu#6465',b'zzzentsu',[],86,ha
2020-08-22 16:07:19,b'@SaketGokhale @AltNews @boomlive_in Saket saheb only qualification to become bhakt is Gross Stupidity',b'vikrantparate',[],22,"Thimphu, Bhutan"
2020-08-22 16:06:37,b'@simmy1k @Trickzyfn To qual',b'nav1uk',[],51,ha
2020-08-22 15:53:36,b'Tibetan medicine \xe2\x80\x98proving effective\xe2\x80\x99 in fight against COVID-19 https://t.co/aTcQq0NUHB',b'ChhedupSangay',[],1114,"Thimphu, Bhutan"
2020-08-22 15:45:43,"b""\xf0\x9f\xa4\x9eROLD HINDI 'TO AU ROLD\xf0\x9f\xa4\x9e""",b'ulanbagyobaha',[],291,ha
2020-08-22 15:42:23,b'@MARUTSUK3 i hope he chokes \xf0\x9f\x98\xb9',b'zzzentsu',[],86,ha
2020-08-22 15:41:49,b'clean eyes',b'mcbdbdjham',[],1202,ha
2020-08-22 15:41:21,b'Everyone is so shit endgame lmao I got like 4 kills from playing height before catty',b'nav1uk',[],51,ha
2020-08-22 15:40:12,b'No way I\xe2\x80\x99ve been shit on that hard good game',b'nav1uk',[],51,ha
2020-08-22 15:32:56,b'no its just that my text tones are superior https://t.co/ebjOCdt0zL',b'zzzentsu',[],86,ha
2020-08-22 15:32:37,b'@caizozfn Pate1k Classic',b'nav1uk',[],51,ha
2020-08-22 15:28:18,b'how yall doin',b'zzzentsu',[],86,ha
2020-08-22 15:22:18,b'@bhuchungtsering OMG she will be a mega STAR!!!',b'tsnamgyal',[],29,"Thimphu, Bhutan"
2020-08-22 15:21:59,b'this isnt optional do it!!!',b'zzzentsu',[],86,ha
2020-08-22 15:20:02,b'End up.. https://t.co/wGeehu9514',b'shuhaierazd',[],891,HA
2020-08-22 15:17:57,b'@beechholic good luck luv',b'zzzentsu',[],86,ha
2020-08-22 15:17:42,b'yall pls dm me i am bored https://t.co/t94ou23kcL',b'zzzentsu',[],86,ha
2020-08-22 15:15:43,b'Got keyed',b'nav1uk',[],51,ha
2020-08-22 15:11:27,b'HES BEING KEYED BY MARAUDERS YESSSSS',b'nav1uk',[],51,ha
2020-08-22 15:11:07,b'AUTHORITY BASED NEXT TO ME NOO',b'nav1uk',[],51,ha
2020-08-22 15:09:56,b'LETS GOOO',b'nav1uk',[],51,ha
2020-08-22 15:06:03,b'The only thing we can do right now is pray amd hope for good. https://t.co/SORcrMF0sD',b'BidhaChencho',[],108,paro bhutan
2020-08-22 15:00:57,b'no one:  me every 5 seconds: TOBE FLYYyyY',b'zzzentsu',[],86,ha
2020-08-22 15:00:52,b'First drop pog',b'nav1uk',[],51,ha
2020-08-22 14:59:05,b'Gg no one to talk to I\xe2\x80\x99m fucked',b'nav1uk',[],51,ha
2020-08-22 14:58:45,b'@lucascodes_ @volxfn Clean',b'nav1uk',[],51,ha
2020-08-22 14:33:48,b'Call during dh?',b'nav1uk',[],51,ha
2020-08-22 14:30:34,b'@a_nobodylol @kaqeyamz yeah',b'zzzentsu',[],86,ha
2020-08-22 14:23:06,b'@haiikyuukun yes pls \xf0\x9f\x98\xba https://t.co/RzneOaMwkS',b'zzzentsu',[],86,ha
2020-08-22 14:22:33,b'@Lizzy_moon_star @eilishholic no go away',b'zzzentsu',[],86,ha
2020-08-22 14:20:09,b'@bakawhore @COlBLEN no lies here',b'zzzentsu',[],86,ha
2020-08-22 14:14:33,b'@svftsora wow no need to call me out https://t.co/ve2mOxc7xk',b'zzzentsu',[],86,ha
2020-08-22 13:54:45,b'@eilishholic that is fucking insane',b'zzzentsu',[],86,ha
2020-08-22 13:51:57,b'i just wanna go to the mall man :(',b'zzzentsu',[],86,ha
2020-08-22 13:36:02,"b'@TenzingLamsang Shit taste best, maybe.'",b'chewangtobgay',[],58,"Thimphu, Bhutan"
2020-08-22 13:34:50,"b'Paro   The historic center of trade with Tibet, Paro is one of the most beautiful valleys in the Kingdom. It is home to the only international airport, thus making it an aerial gateway to Bhutan. Paro is situated\xe2\x80\xa6 https://t.co/n73Pa6AENz'",b'Swallowtail2014',[],392,"Thimphu, Bhutan"
2020-08-22 13:33:20,b'Lockdown restrictions ease in Gewogs https://t.co/jQopPergfq',b'BBSBhutan',[],52195,Thimphu
2020-08-22 13:33:00,b'Taxi drivers on the frontlines of COVID-19 response https://t.co/glqPCw68Ps',b'BBSBhutan',[],52195,Thimphu
2020-08-22 13:32:41,b'Poultry feed shortage in Tsirang amid lockdown https://t.co/NLwloChcan',b'BBSBhutan',[],52195,Thimphu
2020-08-22 13:24:05,"b'\xf0\x9d\x97\x97\xf0\x9d\x97\xbc\xf0\x9d\x97\xbb\xe2\x80\x99\xf0\x9d\x98\x81 \xf0\x9d\x97\xaf\xf0\x9d\x97\xb2\xf0\x9d\x97\xb9\xf0\x9d\x97\xb6\xf0\x9d\x97\xb2\xf0\x9d\x98\x83\xf0\x9d\x97\xb2 \xf0\x9d\x98\x82\xf0\x9d\x98\x80? \xf0\x9d\x97\xa7\xf0\x9d\x97\xbf\xf0\x9d\x98\x86 \xf0\x9d\x97\xb6\xf0\x9d\x98\x81 \xf0\x9d\x98\x86\xf0\x9d\x97\xbc\xf0\x9d\x98\x82\xf0\x9d\x97\xbf\xf0\x9d\x98\x80\xf0\x9d\x97\xb2\xf0\x9d\x97\xb9\xf0\x9d\x97\xb3! Make fast and easy transactions with eTeeru. For more info, visit: https://t.co/pjlSyr5BSQ  #ePaymentsWitheTeeru #TashiCell https://t.co/tGUIOgrmYM'",b'TashiCell',"['ePaymentsWitheTeeru', 'TashiCell']",1771,Thimphu
2020-08-22 13:14:38,b'Help me wish my first baby a happy birthday \xf0\x9f\x8e\x82\xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x81\xf0\x9f\x8e\x88 I love you \xf0\x9f\x92\x95 so much Alana I\xe2\x80\x99m so proud of the young lady you are keep chasing the stars \xe2\x9c\xa8\xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\xa7\xa1\xf0\x9f\x92\x95 https://t.co/PqClwKbwSB',b'NishnabeQue',[],365,Benny HA HA
2020-08-22 13:12:40,"b'If you are ugly, you are ugly. Men do not go around carrying x-ray machines to see your inner beauty. #mugabe quotes'",b'BhattaraiYama',['mugabe'],7,"Thimphu, Bhutan"
2020-08-22 13:05:31,b'@NamgyelNgawang Text contains  \xe0\xbd\x82\xe0\xbd\x84\xe0\xbd\xa6\xe0\xbc\x8b\xe0\xbd\xa3\xe0\xbe\x97\xe0\xbd\xbc\xe0\xbd\x84\xe0\xbd\xa6\xe0\xbc\x8b\xe0\xbd\x96\xe0\xbd\xbc\xe0\xbd\x91\xe0\xbc\x8b\xe0\xbd\xa2\xe0\xbe\x92\xe0\xbe\xb1\xe0\xbd\xa3\xe0\xbc\x8b\xe0\xbd\x81\xe0\xbd\x96 I agree with @karwang_singye It is not Bhutanese currency although it may have been recognized as legal tender in Bhutan. Thank for sharing though. Interesting.',b'sangaykhandu',[],7987,"Thimphu, Bhutan"
2020-08-22 12:55:52,b'Coronavirus: Tracking every global effort to find a COVID-19 vaccine | World News | Sky News https://t.co/WB2EO6RBPT',b'gasebtandin',[],2526,"Thimphu, Bhutan"
2020-08-22 12:52:47,b'Coronavirus: Which face covering works best? Scientists test 14 masks - and find one actually increases risk of infection https://t.co/28U3Nz85on https://t.co/3XQDcjX6RT',b'gasebtandin',[],2526,"Thimphu, Bhutan"
2020-08-22 12:50:03,b'After the outbreak of COVID-19 and since March the MoFA staff started growing vegetables in the fallow land nearby the Directorate of Services\xe2\x80\x99 office. Today they have harvested their first Chilli from the garden and donated to DeSuung Kitchen. https://t.co/hh3LafTHyx',b'FMBhutan',[],3913,"Thimphu, Bhutan"
2020-08-22 12:11:02,"b'Drukyul is not just a country bounded by rulers. Its the place of happiness where kings and leaders are more than mother. Thank you for extensive care with compassion and wisdom for our kings, leaders and fortliners professionals. https://t.co/yei88kVGV7'",b'dalayghalley',[],79,Bhutan
2020-08-22 12:09:47,b'@andreakw Only a true Buddhist practitioner will say this. Took me years to get here where I can appreciate something like this. :)',b'namgayzam',[],23584,thimphu 
2020-08-22 12:07:44,b'@Mxtiqe Vouch in solos i show it every game',b'nav1uk',[],51,ha
2020-08-22 12:06:58,"b'@passangyt Total 1 m3 BP = 4340 Total gas /day = 2821 kg 1 LPG = 14.2 kg Total LPG equivalent = 198.66 cylinders a day. Total amount = Nu. 1,29,129 per day  Total LPG equivalent = 3,893,370 cylinders of gas produced Total INR saved in a year 46,720,440  @passangyt I hope I got correct.'",b'pnamgyel',[],656,"Thimphu, BHUTAN."
2020-08-22 11:12:39,b'@_nowayyyy_ doctor pa rin first choiceq',b'alysnicoleee',[],138,ha?
2020-08-22 11:10:56,"b'Founder and CEO of Covet PR, Sara Brooks, recently sold her company to performance marketing agency Power Digital. Brooks shares her 10 tips to fast-tracking an acquisition into today\xe2\x80\x99s challenging economic environment. https://t.co/nplROq4W67 https://t.co/7S4RxaZzW4'",b'StratosWealthAG',[],59,Ha
2020-08-22 11:08:02,b'yes baby yes!!!! https://t.co/NDwXqoi887',b'_sofiakirsten',[],877,ha
2020-08-22 11:01:43,b'Sorry \xf0\x9f\x98\xac https://t.co/pLt9nScjPJ',b'chaaadl_',[],300,🌜ha
2020-08-22 10:58:21,b'Donate through mBoB and make a difference! #TogetherWeCan https://t.co/k8V1X08NnM',b'BankofBhutan',['TogetherWeCan'],1305,"Thimphu, Bhutan"
2020-08-22 10:58:10,"b'3/3  In the same year, Business Bhutan ran the story by Sonam Pelden. I worked as a News Editor there then.  However, given our poor reading culture people to this day stop in large numbers at this \xe2\x80\x98Drubchu\xe2\x80\x99 &amp; drink from it &amp; even take it in containers for family members at home.'",b'TenzingLamsang',[],24199,"Thimphu, Bhutan."
2020-08-22 10:57:58,b'#HappyBirthday to #HisHoliness the 70th #JeKhenpo https://t.co/3AqsutnlBR',b'BankofBhutan',"['HappyBirthday', 'HisHoliness', 'JeKhenpo']",1305,"Thimphu, Bhutan"
2020-08-22 10:56:11,b'2/3  Before putting in money he ran some tests on the water with a reputed lab.  The lab found the Drubchu had high fecal &amp; bacterial content in it &amp; was unfit for consumption. The reason is that there is a settlement high above the spring which led to the source being polluted.',b'TenzingLamsang',[],24199,"Thimphu, Bhutan."
2020-08-22 10:54:38,b'1/3  There are people who do not read newspapers and some who even pride themselves in not doing so.  This is a cautionary tale for those people.   In 2010 a businessman in Paro wanted to tap this popular \xe2\x80\x98Drubchu water\xe2\x80\x99 between Chunzom and Paro for a mineral water plant. https://t.co/k9jW6Dqjx2',b'TenzingLamsang',[],24199,"Thimphu, Bhutan."
2020-08-22 10:45:23,b'I could listen to podcasts all freakin\xe2\x80\x99 daaay',b'chai_xingxx',[],421,Ha
2020-08-22 10:43:46,"b""Let's stop fake news.  Actually, we can do it.  We just have to read and understand these eight tips.  And it's this simple\xf0\x9f\x98\x8a\xf0\x9f\x91\x8d  #StopFakeNews #medialiteracy #bhutanfightscovid19 #COVID19BHUTAN https://t.co/ajAEiaVRX2""",b'rikusubba',"['StopFakeNews', 'medialiteracy', 'bhutanfightscovid19', 'COVID19BHUTAN']",950,"Thimphu, Bhutan"
2020-08-22 10:42:53,b'Transfers LIVE! Chilwell and Havertz to Chelsea; Gabriel to Arsenal https://t.co/jLwxtaE7Bt',b'ChhedupSangay',[],1114,"Thimphu, Bhutan"
