timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-07-03 14:23:12,"b'\xf0\x9d\x90\x80\xf0\x9d\x90\xa7\xf0\x9d\x90\xa8\xf0\x9d\x90\xad\xf0\x9d\x90\xa1\xf0\x9d\x90\x9e\xf0\x9d\x90\xab \xf0\x9d\x90\x9c\xf0\x9d\x90\xa1\xf0\x9d\x90\x9a\xf0\x9d\x90\xa7\xf0\x9d\x90\x9c\xf0\x9d\x90\x9e \xf0\x9d\x90\x9f\xf0\x9d\x90\xa8\xf0\x9d\x90\xab \xf0\x9d\x90\xb2\xf0\x9d\x90\xa8\xf0\x9d\x90\xae \xf0\x9d\x90\xad\xf0\x9d\x90\xa8 \xf0\x9d\x90\x96\xf0\x9d\x90\x88\xf0\x9d\x90\x8d \xf0\x9d\x90\x9a \xf0\x9d\x90\x92\xf0\x9d\x90\x9a\xf0\x9d\x90\xa6\xf0\x9d\x90\xac\xf0\x9d\x90\xae\xf0\x9d\x90\xa7\xf0\x9d\x90\xa0 \xf0\x9d\x90\x86\xf0\x9d\x90\x9a\xf0\x9d\x90\xa5\xf0\x9d\x90\x9a\xf0\x9d\x90\xb1\xf0\x9d\x90\xb2 \xf0\x9d\x90\x8c\xf0\x9d\x9f\x90\xf0\x9d\x9f\x8f!  The 2nd Lucky Winner will get 15,000MB &amp; the 3rd Lucky Winner 10,000MB data.  For more info 7700 \xf0\x9f\x93\x9e T&amp;C Apply*  #eteeru #tashicell #bhutan https://t.co/JVaFSssQ0j'",b'TashiCell',"['eteeru', 'tashicell', 'bhutan']",1746,Thimphu
2020-07-03 14:22:10,b'*** Must follow first btw \xf0\x9f\x92\x8e ***',b'uchiha_soma',[],39,"Thimphu, Bhutan"
2020-07-03 14:21:37,b'@IRose06 @lizzie_playzz Youtoo',b'uchiha_soma',[],39,"Thimphu, Bhutan"
2020-07-03 14:20:44,b'I can\xe2\x80\x99t believe lil durk\xe2\x80\x99s concert was supposed to happen in February.. feels like a year ago or something',b'nlms1x',[],966,HA
2020-07-03 14:16:01,b'@AmazonHelp hi dmd you',b'c_limbi',[],37,Ha!!
2020-07-03 14:12:49,b'@GuyAirline We know we are lucky! \xf0\x9f\x98\x8a',b'namgayzam',[],22654,thimphu 
2020-07-03 14:12:24,b'@that_chilip @GuyAirline Ohhh! Now that you\xe2\x80\x99ve tweeted that... I think many of us have made \xe2\x80\x9corigin\xe2\x80\x9d part of journalistic parlance...thank you la.',b'namgayzam',[],22654,thimphu 
2020-07-03 14:09:26,"b'Thanks for sharing, Nilanjana.   Thought-provoking. https://t.co/oPy7LhypyW'",b'namgayzam',[],22654,thimphu 
2020-07-03 13:58:19,b'what is happening? grabe na aaa',b'lekKkksSaA',[],157,HA
2020-07-03 13:54:12,b'I want roti and sorrelllllllllllllllllomds',b'nlms1x',[],966,HA
2020-07-03 13:52:01,b'Paddy plantation has begun in Paro (we have them at different times for different districts in the Western region).   Photo: Kencho Wangdi https://t.co/xEbg7LPCei',b'namgayzam',[],22654,thimphu 
2020-07-03 13:48:05,b'Indian Customs introduces paperless#faceless and contact less customs clearance https://t.co/ik0Zntkwd9',b'PhuntshoWangs',[],31,Thimphu
2020-07-03 13:47:19,b'@TheMancTravels Agreed (pic from our last trip to the banks of the Seine) https://t.co/XQhOYu813g',b'bhutannorter',[],487,"Thimphu, Bhutan"
2020-07-03 13:38:55,b'Lets Go https://t.co/3NsYuGaK9P',b'Medikit00',[],6,ha
2020-07-03 13:34:45,"b""@claytian8 I'm on mobile lol""",b'uchiha_soma',[],39,"Thimphu, Bhutan"
