timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-10-05 07:55:24,b'I love with the trio I\xe2\x80\x99m trying I get called out for not playing together but when i make a call and they don\xe2\x80\x99t come they act like I did something wrong again :)',b'badmental_',[],59,ha
2020-10-05 07:43:59,b'deep',b'mtldjieieie',[],435,ha?
2020-10-05 07:40:24,b'Spare a thought for the secret service guy carrying an actively infectious Trump in the same airtight vehicle only because Trump wanted to wave at his supporters and head back to the Hospital.   A bad leader is also a bad human being. https://t.co/erNkZx5siG',b'TenzingLamsang',[],24624,"Thimphu, Bhutan."
2020-10-05 07:35:55,b'Blessed we Bhutanese are -  Long Live The Great Fourth \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Long Live The People\xe2\x80\x99s King \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Palden Drukpa Gyalo @ BMT Happiness House https://t.co/Jzzqtl8Nz5',b'bhutan_majestic',[],1149,"Thimphu, Bhutan"
2020-10-05 07:24:00,b'Reminder: Bhutan National Bank https://t.co/BHMblb3cvv',b'business_bhutan',[],11230,Thimphu Bhutan
2020-10-05 07:16:19,"b'@JoelakaMaG ""Don\'t just write the words make them live and breathe on the paper""'",b'ajhanee09',[],351,Ha
2020-10-05 07:05:02,b'bump https://t.co/mpkrZ4viAe',b'theotheralden',[],250,ha
2020-10-05 07:02:49,"b'@dhume @sunetrac @kakoligdastidar @Uppolice This logic would let off rioters, mobsters and assassins too.'",b'TenzingLamsang',[],24624,"Thimphu, Bhutan."
2020-10-05 07:02:34,"b'Your active mind is always up for a challenge, and today is a ... More for Virgo https://t.co/ytH6jMhay1'",b'czdorji',[],2318,"thimphu, bhutan"
2020-10-05 07:02:17,"b""@bigbodybae Shid I'm on here da boffum lmfao""",b'ajhanee09',[],351,Ha
2020-10-05 07:01:12,b'Your mind is on your money and money is on your mind! If you f... More for Sagittarius https://t.co/FfKav1h4Nc',b'kintsho_bht',[],30,Thimphu
2020-10-05 07:01:05,b'You may be feeling a bit bogged down with your responsibilitie... More for Taurus https://t.co/EECfQYA8HL',b'cixx67',[],1509,"Thimphu, Bhutan"
2020-10-05 07:00:16,b'It can be hard to speak up when someone does something to hurt... More for Pisces https://t.co/uojyhA9mo8',b'LobzangYeshey1',[],314,"Thimphu, Bhutan"
2020-10-05 06:52:31,b'We are confident if there is a second wave of Covid-19: Health Minister https://t.co/iloGqJaCPI https://t.co/QdWa20YK4L',b'business_bhutan',[],11230,Thimphu Bhutan
2020-10-05 06:50:54,b'Use less to save more.  #worldenergyefficiencyday #saveenergy #protecttheenvironment #savetheworld  #savemoney  #lessismore  #switchasia https://t.co/CHUjkcTcRm',b'abto_bhutan',"['worldenergyefficiencyday', 'saveenergy', 'protecttheenvironment', 'savetheworld', 'savemoney', 'lessismore', 'switchasia']",202,"Thimphu, Bhutan"
