timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-10-25 13:55:39,b'dorimeeee',b'mtldjieieie',[],420,ha?
2020-10-25 13:34:32,"b'Just posted a photo @ Paro, Bhutan https://t.co/iBcQ67wcfp'",b'_TheHarsh_',[],203,"Kolkata, India."
2020-10-25 13:32:51,"b'Just posted a photo @ Paro, Bhutan https://t.co/LciNyVH318'",b'_TheHarsh_',[],203,"Kolkata, India."
2020-10-25 13:27:59,b'@aestroFN @GirlPhantomm imagine having cousins \xf0\x9f\x98\x94',b'badmental_',[],60,ha
2020-10-25 12:53:48,"b""How wood is trending as a renewable building material, even for high-rises - but don't expect timber skyscrapers in Hong Kong https://t.co/rUW8eathZJ""",b'pnamgyel',[],687,"Thimphu, BHUTAN."
2020-10-25 11:55:36,b'VAR going WAR. https://t.co/gKl070Tqd4',b'ChhedupSangay',[],1164,"Thimphu, Bhutan"
2020-10-25 11:52:09,b'@KobyDutton finds an egirl out of sadness',b'badmental_',[],60,ha
2020-10-25 11:43:28,"b'Happy Dasian to these little people. They enjoy Sunday outing; least care about #COVID19 protocol. But I can confirm this that, these little kids love wearing face mask, just removed to feed themselves.  #Pizza https://t.co/ucu10fnYku'",b'ChhedupSangay',"['COVID19', 'Pizza']",1164,"Thimphu, Bhutan"
2020-10-25 11:26:38,b'@ItzChilly What about both together',b'badmental_',[],60,ha
2020-10-25 11:11:47,b'yall ksidhsjxjjs kashis and maggi the best istg \xf0\x9f\x98\xa4\xe2\x9c\x8b',b'ry_owz',[],245,ha?
2020-10-25 11:09:05,b'Igl is fun when you know you did a smart',b'badmental_',[],60,ha
2020-10-25 11:07:59,"b'The decimated municipal-bond insurance industry is having a renaissance. Weakened by Covid-19, state and local borrowers are using insurance at their highest rates in more than a decade. https://t.co/zWia1rSfCw https://t.co/b2wiBm7ow8'",b'StratosWealthAG',[],60,Ha
2020-10-25 11:01:40,b'EVERYTHING WILL BE OKAY LISA',b'todayis_dubzy',[],6,ha
2020-10-25 10:59:48,b'Urban sprawl https://t.co/5nTR6qAqu5',b'mani_moktan',[],2,"Thimphu, Bhutan "
2020-10-25 10:46:05,b'2020 vs 2019 @phoenixprime1 what ya think? https://t.co/Xgr0bFBmB3',b'AKAbilliee',[],144,ha
2020-10-25 10:36:19,b'\xf0\x9f\x8e\xa7 My new playlist.\xf0\x9f\x8e\xb6 So much in love with the melody. Destiny - @therealjimbrickman ft #jordon hill @ The Land of Happiness https://t.co/nyUdFeGxke',b'Purkie0919',['jordon'],16,"Thimphu, Bhutan"
2020-10-25 09:59:57,"b'you make me strong "")'",b'hanashna',[],334,ha 
2020-10-25 09:28:24,b'https://t.co/I4BMxmHxb2  Hit the link to get rm10 for free as you first time sign up on foodpanda! \xf0\x9f\x91\x80',b'deerazif__',[],278,HA
2020-10-25 09:09:33,b'@Odlnz @stealthyfnt @Tuiifn bio would say more than 9k and that would likely be his biggest achievement',b'badmental_',[],60,ha
