timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-10-09 08:17:53,b'@karmajigmepema It can be other way round also no ?',b'zzezenn',[],2094,Thimphu
2020-10-09 08:17:21,b'@TheDeshBhakt Stupid Doctors...',b'vikrantparate',[],29,"Thimphu, Bhutan"
2020-10-09 07:58:26,b'If we can all respect eachother and keep our negative opinions to ourselves\xf0\x9f\xa4\x94 I will give all of yall 1 million dollars each\xf0\x9f\x98\x80\xf0\x9f\x91\x8d',b'bonsehole',[],7,ha
2020-10-09 07:57:46,b'Do these things work in rl or nah\xf0\x9f\xa4\x94 https://t.co/ydU0fwiCO1',b'bonsehole',[],7,ha
2020-10-09 07:57:24,"b""I've been thinking about this world a lot and a lot of things just don't make sense\xf0\x9f\x98\x90""",b'bonsehole',[],7,ha
2020-10-09 07:57:12,b'Imagine if mountains just stood up bro\xf0\x9f\xa4\x94',b'bonsehole',[],7,ha
2020-10-09 07:56:20,b'luv uu https://t.co/6YUtzyXcym',b'leuxdinini',[],241,ha
2020-10-09 07:55:46,"b'Presenting the work done by the Indian Foreign Officers at the Embassy of India, Thimphu.  #IndianForeignService  #ServingTheNation  @PMOIndia @PMBhutan @FMBhutan @DrSJaishankar @MEAIndia @IndianDiplomacy @WIONews @livemint @PBNS_India @PIB_India @DDNewslive https://t.co/NZA8nbr64m'",b'Indiainbhutan',"['IndianForeignService', 'ServingTheNation']",11579,"Thimphu, Bhutan"
2020-10-09 07:49:09,"b""I need more TRPs for my posts. If you want to give them to me, you will receive home made food in return. Deal done karo, bargaining na karo. Those in favour say KAYEIN! Those opposed also say 'KAYEIN.' #RepublicFarziRatings #RepublicCheatsBharat #ArnabGoswamy""",b'samosa_sasta',"['RepublicFarziRatings', 'RepublicCheatsBharat', 'ArnabGoswamy']",32,Timbu
2020-10-09 07:43:54,"b'Kenapa ya reaksi kucing ni sangat jujur yaa like they saw me and their face be like ""why tf she\'s here"", dengan muka annoyingnya ya ampun im the one give you fooood'",b'deerazif__',[],279,HA
2020-10-09 07:34:29,b'@hatcikko Ders',b'Iremvas',[],346,ha ha
2020-10-09 07:29:51,b'Is savage island hard con in scrims or tourneys if anyone knows? I want to land there but also factor in another part in mountains but dk whether or not we have to all triple send island',b'badmental_',[],60,ha
2020-10-09 07:23:45,b'Me too https://t.co/tbir0xfZBz',b'BrezzyNemo',[],16,Thimphu
2020-10-09 07:02:36,b'Stepping out and creating something of your own is on your min... More for Virgo https://t.co/ytH6jMhay1',b'czdorji',[],2319,"thimphu, bhutan"
2020-10-09 07:01:14,b'You may be feeling quite frustrated because you\xe2\x80\x99ve been swampe... More for Sagittarius https://t.co/FfKav1h4Nc',b'kintsho_bht',[],30,Thimphu
2020-10-09 07:01:06,"b'If you aren\xe2\x80\x99t careful, you can be taken advantage of by the ve... More for Taurus https://t.co/EECfQYA8HL'",b'cixx67',[],1508,"Thimphu, Bhutan"
2020-10-09 07:00:16,b'Today you might have woken up feeling annoyed. You spend a lot... More for Pisces https://t.co/uojyhA9mo8',b'LobzangYeshey1',[],313,"Thimphu, Bhutan"
2020-10-09 06:53:31,b'Just posted a photo @ Lungtenphu Military Hospital https://t.co/nfxinZbaTR',b'bhutan_majestic',[],1151,"Thimphu, Bhutan"
2020-10-09 06:48:20,b'COVID-19 press briefing: so far more than 2000 people have visited the flu clinic centres. In the flu clinic TB screening services are also provided: health minister',b'business_bhutan',[],11247,Thimphu Bhutan
2020-10-09 06:47:51,b'COVID-19 press briefing: today 273 people in the DANTAK area: health minister',b'business_bhutan',[],11247,Thimphu Bhutan
2020-10-09 06:47:16,b'COVID-19 press briefing: as of today health ministry alone has spent Nu 1.22bn on COVID-19 containment measures excluding expenditure on quarantine facilities: health minister.',b'business_bhutan',[],11247,Thimphu Bhutan
2020-10-09 06:23:59,"b'True, and so is the media of any democracy in the region, big or small.   So no point for any country or Embassy getting upset with another democratic country\xe2\x80\x99s government over what its free press writes or not.   Applies not only to China, but all others as well. https://t.co/rgECLSSZfZ'",b'TenzingLamsang',[],24608,"Thimphu, Bhutan."
2020-10-09 06:22:32,b'@tshomougyen2001 Aii...so sad...',b'tshewang2020',[],3,Thimphu
2020-10-09 05:52:33,b'@KobyDutton Qualed for opens!',b'badmental_',[],60,ha
